,Categorie,precision,recall,f1-score,support,programme,libelle,id
0,10,0.5736677115987461,0.5874799357945425,0.5804916732751785,623.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
1,40,0.5550935550935551,0.5318725099601593,0.5432349949135301,502.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
2,50,0.5555555555555556,0.4464285714285714,0.4950495049504951,336.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
3,60,0.7368421052631579,0.7544910179640718,0.7455621301775147,167.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
4,1140,0.6361974405850092,0.651685393258427,0.6438482886216466,534.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
5,1160,0.9028642590286424,0.9165613147914032,0.9096612296110412,791.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
6,1180,0.4690265486725664,0.3464052287581699,0.3984962406015038,153.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
7,1280,0.4315659679408138,0.4375,0.4345127250155183,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
8,1281,0.3666666666666666,0.2657004830917874,0.3081232492997199,414.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
9,1300,0.6826815642458101,0.76375,0.7209439528023599,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
10,1301,0.7142857142857143,0.6521739130434783,0.6818181818181819,161.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
11,1302,0.549792531120332,0.5321285140562249,0.5408163265306123,498.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
12,1320,0.5518248175182482,0.5833333333333334,0.5671417854463616,648.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
13,1560,0.6188679245283019,0.615,0.6169278996865203,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
14,1920,0.8100358422939068,0.8475,0.8283445326817349,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
15,1940,0.6918238993710691,0.6832298136645962,0.6874999999999999,161.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
16,2060,0.5407124681933843,0.53125,0.5359394703656999,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
17,2220,0.5853658536585366,0.4363636363636363,0.5,165.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
18,2280,0.6888633754305397,0.75,0.7181328545780971,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
19,2403,0.6783854166666666,0.65125,0.6645408163265306,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
20,2462,0.6147540983606558,0.528169014084507,0.5681818181818182,284.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
21,2522,0.7022332506203474,0.7075,0.7048567870485679,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
22,2582,0.5680345572354212,0.5077220077220077,0.5361875637104995,518.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
23,2583,0.7593896713615024,0.80875,0.7832929782082324,800.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
24,2585,0.5242914979757085,0.5190380761523046,0.5216515609264853,499.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
25,2705,0.6907692307692308,0.8134057971014492,0.7470881863560732,552.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
26,2905,0.6507936507936508,0.7068965517241379,0.6776859504132232,174.0,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
27,accuracy,0.640403337969402,0.640403337969402,0.640403337969402,0.640403337969402,Modele_IMG_Reseau_RGB,efficientNet RGB max 4000 lr=0.01->0.0042 DR20-20,CNN05
28,10,0.4382716049382716,0.426,0.4320486815415821,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
29,40,0.360128617363344,0.448,0.3992869875222816,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
30,50,0.1796116504854369,0.1101190476190476,0.1365313653136531,336.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
31,60,0.1864406779661017,0.1976047904191616,0.191860465116279,167.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
32,1140,0.2532894736842105,0.308,0.2779783393501805,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
33,1160,0.6716981132075471,0.712,0.69126213592233,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
34,1180,0.26,0.0849673202614379,0.1280788177339901,153.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
35,1280,0.0893970893970894,0.086,0.0876656472986748,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
36,1281,0.0991379310344827,0.1111111111111111,0.1047835990888382,414.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
37,1300,0.241779497098646,0.25,0.2458210422812193,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
38,1301,0.2857142857142857,0.1366459627329192,0.1848739495798319,161.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
39,1302,0.1494464944649446,0.1626506024096385,0.1557692307692307,498.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
40,1320,0.2112068965517241,0.196,0.2033195020746888,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
41,1560,0.205949656750572,0.18,0.192102454642476,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
42,1920,0.4775086505190311,0.552,0.5120593692022263,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
43,1940,0.1590909090909091,0.1304347826086956,0.1433447098976109,161.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
44,2060,0.1451327433628318,0.164,0.1539906103286385,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
