,Id,prdtypecode,PAYS_LANGUE,RATIO_LANGUE,ORIGINE_LANGUE,pays_design,Ratio_design,pays_descr,Ratio_descr,design_long,descrip_long,descr_NaN
0,0,10,de,0.99,Designation,de,0.99,,,88,,True
1,1,2280,fr,0.99,Designation,fr,0.99,,,206,,True
2,2,50,fr,0.99,Description,nl,0.47,fr,0.99,76,760.0,False
3,3,1280,de,0.71,Designation,de,0.71,,,63,,True
4,4,2705,ca,0.99,Designation,ca,0.99,fr,0.99,20,213.0,False
5,5,2280,fr,0.99,Designation,fr,0.99,,,65,,True
6,6,10,de,0.99,Designation,de,0.99,,,42,,True
7,7,2522,fr,0.99,Designation,fr,0.99,fr,0.99,82,121.0,False
8,8,1280,en,0.57,Designation,en,0.57,,,41,,True
9,9,2582,fr,0.99,Description,fr,0.85,fr,0.99,83,2375.0,False
10,10,1560,en,0.99,Designation,en,0.99,en,0.99,39,629.0,False
11,11,1560,fr,0.99,Description,de,0.85,fr,0.99,63,3889.0,False
12,12,1281,en,0.99,Designation,en,0.99,en,0.99,84,977.0,False
13,13,1920,fr,0.99,Designation,fr,0.99,fr,0.99,36,581.0,False
14,14,1560,fr,0.99,Designation,fr,0.99,fr,0.99,161,1889.0,False
15,15,2522,en,0.99,Designation,en,0.99,fr,0.99,44,236.0,False
16,16,2403,fr,0.99,Designation,fr,0.99,,,50,,True
17,17,2522,en,0.99,Designation,en,0.99,,,35,,True
18,18,1140,en,0.99,Designation,en,0.99,,,61,,True
19,19,2280,fr,0.57,Designation,fr,0.57,,,217,,True
20,20,2583,fr,0.99,Designation,fr,0.99,,,47,,True
21,21,1280,de,0.99,Designation,de,0.99,it,0.85,30,47.0,False
22,22,1180,fr,0.99,Designation,fr,0.99,,,72,,True
23,23,1140,en,0.99,Designation,en,0.99,fr,0.99,25,47.0,False
24,24,1300,fr,0.99,Designation,fr,0.99,fr,0.99,105,3023.0,False
25,25,2462,fr,0.85,Designation,fr,0.85,,,34,,True
26,26,1280,fr,0.99,Designation,fr,0.99,fr,0.99,109,748.0,False
27,27,2522,fr,0.99,Description,fr,0.71,fr,0.99,91,218.0,False
28,28,2280,fr,0.99,Designation,fr,0.99,,,105,,True
29,29,1160,fr,0.99,Designation,fr,0.99,,,73,,True
30,30,2060,fr,0.99,Description,fr,0.85,fr,0.99,147,687.0,False
31,31,40,en,0.99,Designation,en,0.99,,,19,,True
32,32,1560,fr,0.99,Description,de,0.85,fr,0.99,55,658.0,False
33,33,2522,en,0.99,Designation,en,0.99,en,0.99,144,840.0,False
34,34,40,en,0.99,Designation,en,0.99,,,21,,True
35,35,2060,en,0.99,Designation,en,0.99,en,0.99,87,423.0,False
